Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"JP2920","False","True","55739","Asian Art","Print","千絵の海　下総登戸|Noboto at Shimōsa (Shimōsa Noboto), from the series One Thousand Pictures of the Sea (Chie no umi)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1832–33","1832","1833","Polychrome woodblock print; ink and color on paper","H. 7 1/4 in. (18.4 cm); W. 10 in. (25.4 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/55739","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2984","False","True","55740","Asian Art","Woodblock print","冨嶽三十六景　五百らかん寺さざゐどう|Sazai Hall at the Temple of the Five Hundred Arhats (Gohyaku Rakanji Sazaidō), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1830","1832","Polychrome woodblock print; ink and color on paper","Oban 10 1/4 x 15 1/4 in. (26 x 38.7 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/55740","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2990","False","True","55741","Asian Art","Woodblock print","冨嶽三十六景　武陽佃島|Tsukudajima in Musashi Province (Buyō Tsukudajima), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1830","1832","Polychrome woodblock print; ink and color on paper","Oban 10 1/8 x 15 in. (25.7 x 38.1 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/55741","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2998","False","True","55742","Asian Art","Woodblock print","冨嶽三十六景　隅田川関屋の里|Sekiya Village on the Sumida River (Sumidagawa Sekiya no sato), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1830","1832","Polychrome woodblock print; ink and color on paper","Oban 10 1/4 x 15 1/8 in. (26 x 38.4 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/55742","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2903","False","True","56018","Asian Art","Woodblock print","","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1781–1801","1781","1801","Polychrome woodblock print; ink and color on paper","11 3/4 x 5 1/4 in. (29.8 x 13.3 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56018","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP2904","False","True","56019","Asian Art","Print","二代中村野塩|The Actor Nakamura Noshio II, in Female Role, Holding a Shakuhachi (Bamboo Flute)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1796 (Kansei, 6th year)","1796","1796","Polychrome woodblock print; ink and color on paper","11 3/4 x 5 1/4 in. (29.8 x 13.3 cm)","Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56019","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1843","False","True","56128","Asian Art","Print","","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","1830s","1830","1839","Monochrome woodblock print; ink on paper","H. 10 1/2 in. (26.7 cm); W. 14 3/4 in. (37.5 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56128","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1844","False","True","56129","Asian Art","Woodblock print","","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","","1760","1849","Monochrome woodblock print; ink on paper","H. 14 15/16 in. (37.9 cm); W. 10 5/16 in. (26.2 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56129","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1845","False","True","56130","Asian Art","Print","","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","","1760","1849","Monochrome woodblock print; ink on paper","H. 15 in. (38.1 cm); W. 10 3/8 in. (26.4 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56130","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
"JP1846","False","True","56131","Asian Art","Woodblock print","冨嶽三十六景　隠田の水車|The Waterwheel at Onden (Onden no suisha), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)","Japan","Edo period (1615–1868)","","","","Artist","","Katsushika Hokusai","Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)","","Katsushika Hokusai","Japanese","1760      ","1849      ","ca. 1830–32","1820","1842","Polychrome woodblock print; ink and color on paper","H. 9 3/8 in. (23.8 cm); W. 14 in. (35.6 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/56131","4/17/2017 8:00:06 AM","Metropolitan Museum of Art, New York, NY"
